Pgen,Pgenn,Temperature,Selection,Population,days since spawned,Tank,Compa No,Dish,egg number,hatched eggs,total_alive,Hatch_Pr,Incubation density,Pr_Alive
F5,5,L,S,LTS1,0,Tank2,2.3,2.3F5,271,0,271,0,271,1
F5,5,L,S,LTS1,1,Tank2,2.3,2.3F5,208,0,208,0,271,0.767527675
F5,5,L,S,LTS1,2,Tank2,2.3,2.3F5,184,5,189,0.024038462,271,0.697416974
F5,5,L,S,LTS1,3,Tank2,2.3,2.3F5,114,71,185,0.375661376,271,0.682656827
F5,5,L,S,LTS1,4,Tank2,2.3,2.3F5,17,170,187,0.918918919,271,0.6900369
F5,5,H,S,HTS5,0,Tank3,3.1,3.1F5,449,0,449,0,449,1
F5,5,H,S,HTS5,1,Tank3,3.1,3.1F5,425,0,425,0,449,0.946547884
F5,5,H,S,HTS5,2,Tank3,3.1,3.1F5,76,280,356,0.658823529,449,0.792873051
F5,5,H,S,HTS5,3,Tank3,3.1,3.1F5,0,349,349,0.980337079,449,0.777282851
F5,5,H,S,HTS5,4,Tank3,3.1,3.1F5,0,355,355,1.017191977,449,0.79064588
F5,5,H,C,HTC5,0,Tank3,3.2,3.2F5,367,0,367,0,367,1
F5,5,H,C,HTC5,1,Tank3,3.2,3.2F5,239,0,239,0,367,0.651226158
F5,5,H,C,HTC5,2,Tank3,3.2,3.2F5,111,99,210,0.414225941,367,0.572207084
F5,5,H,C,HTC5,3,Tank3,3.2,3.2F5,4,207,211,0.985714286,367,0.57493188
F5,5,H,C,HTC5,4,Tank3,3.2,3.2F5,4,207,211,0.981042654,367,0.57493188
F5,5,H,G,HTG5,0,Tank3,3.3,3.3F5,850,0,850,0,850,1
F5,5,H,G,HTG5,1,Tank3,3.3,3.3F5,498,0,498,0,850,0.585882353
F5,5,H,G,HTG5,2,Tank3,3.3,3.3F5,143,266,409,0.534136546,850,0.481176471
F5,5,H,G,HTG5,3,Tank3,3.3,3.3F5,1,382,383,0.93398533,850,0.450588235
F5,5,H,G,HTG5,4,Tank3,3.3,3.3F5,0,386,386,1.007832898,850,0.454117647
F5,5,L,G,LTG2,0,Tank4,4.1,4.1F5,738,0,738,0,738,1
F5,5,L,G,LTG2,1,Tank4,4.1,4.1F5,315,0,315,0,738,0.426829268
F5,5,L,G,LTG2,2,Tank4,4.1,4.1F5,276,3,279,0.00952381,738,0.37804878
