Pgen,Pgenn,Temperature,Selection,Population,Tank,Compa No,Dish,Recruit Surv
CG1,6,H,G,HTG4,Tank1,1.3,1.3CG1,250
CG1,6,H,S,HTS5,Tank3,3.1,3.1CG1,250
CG1,6,H,C,HTC5,Tank3,3.2,3.2CG1,250
CG1,6,H,G,HTG5,Tank3,3.3,3.3CG1,250
CG1,6,H,S,HTS6,Tank6,6.1,6.1CG1,NA
CG1,6,H,G,HTG6,Tank6,6.2,6.2CG1,250
CG1,6,H,C,HTC6,Tank6,6.3,6.3CG1,250
CG2,7,L,C,LTC1,Tank2,2.1,2.1CG2,250
CG2,7,L,G,LTG1,Tank2,2.2,2.2CG2,250
CG2,7,L,S,LTS1,Tank2,2.3,2.3CG2,250
CG2,7,L,G,LTG2,Tank4,4.1,4.1CG2,250
CG2,7,L,C,LTC2,Tank4,4.2,4.2CG2,250
CG2,7,L,S,LTS2,Tank4,4.3,4.3CG2,250
CG2,7,L,C,LTC3,Tank5,5.1,5.1CG2,250
CG2,7,L,S,LTS3,Tank5,5.2,5.2CG2,250
CG2,7,L,G,LTG3,Tank5,5.3,5.3CG2,250
CG2,7,H,C,HTC4,Tank1,1.1,1.1CG2,250
CG2,7,H,S,HTS4,Tank1,1.2,1.2CG2,250
CG2,7,H,G,HTG4,Tank1,1.3,1.3CG2,250
CG2,7,H,S,HTS5,Tank3,3.1,3.1CG2,250
CG2,7,H,C,HTC5,Tank3,3.2,3.2CG2,250
CG2,7,H,G,HTG5,Tank3,3.3,3.3CG2,250
CG2,7,H,S,HTS6,Tank6,6.1,6.1CG2,NA
CG2,7,H,G,HTG6,Tank6,6.2,6.2CG2,250
CG2,7,H,C,HTC6,Tank6,6.3,6.3CG2,250
